t v
3.183867758e+02 4.749114844e+00
3.193867758e+02 4.596041853e+00
3.203867758e+02 4.408788113e+00
3.213867758e+02 4.191462692e+00
3.223867758e+02 3.948559808e+00
3.233867758e+02 3.684086198e+00
3.243867758e+02 3.401971694e+00
3.251494813e+02 3.177420492e+00
3.258160420e+02 2.977220598e+00
3.264637396e+02 2.782216796e+00
3.271750044e+02 2.570746243e+00
3.279234112e+02 2.354442560e+00
3.287149181e+02 2.135814916e+00
3.294370963e+02 1.947671699e+00
3.304370963e+02 1.708062522e+00
3.314370963e+02 1.494814481e+00
3.324370963e+02 1.309007010e+00
3.334370963e+02 1.149860714e+00
3.344370963e+02 1.015053288e+00
3.354370963e+02 9.018647832e-01
3.364370963e+02 8.073190930e-01
3.374370963e+02 7.281665006e-01
3.384370963e+02 6.611172401e-01
3.394370963e+02 6.024347695e-01
3.404370963e+02 5.484825262e-01
3.414370963e+02 4.966626269e-01
3.424370963e+02 4.453064403e-01
3.434370963e+02 3.934486920e-01
3.444370963e+02 3.405844031e-01
3.454370963e+02 2.864645143e-01
3.464370963e+02 2.315150599e-01
3.474370963e+02 1.767309440e-01
3.484370963e+02 1.228371163e-01
3.494370963e+02 7.143863957e-02
3.504370963e+02 2.588597780e-02
3.511878056e+02 -2.096175398e-03
3.518536741e+02 -2.050822165e-02
3.525028420e+02 -3.095000569e-02
3.532158793e+02 -3.214087184e-02
3.539643540e+02 -2.009801180e-02
3.547559561e+02 9.197935391e-03
3.554736309e+02 5.172586967e-02
3.564736309e+02 1.382285130e-01
3.574736309e+02 2.581900055e-01
3.584736309e+02 4.132553690e-01
3.594736309e+02 6.023398398e-01
3.604736309e+02 8.212165594e-01
3.614736309e+02 1.065436154e+00
3.624736309e+02 1.331006775e+00
3.634736309e+02 1.613998059e+00
3.644736309e+02 1.909773647e+00
3.654736309e+02 2.210469897e+00
3.664736309e+02 2.506325901e+00
3.674736309e+02 2.789116838e+00
3.684736309e+02 3.052530075e+00
3.694736309e+02 3.292172063e+00
3.704736309e+02 3.505424638e+00
3.714736309e+02 3.691219156e+00
3.724736309e+02 3.850344094e+00
3.734736309e+02 3.985127479e+00
3.744736309e+02 4.098291819e+00
3.754736309e+02 4.192815752e+00
3.764736309e+02 4.271950362e+00
3.772180886e+02 4.322708853e+00
3.778835462e+02 4.363629699e+00
3.785333876e+02 4.400755559e+00
